Date,Open,High,Low,Close,Adj Close,Volume
2016-04-26,25700,26100,25660,25920,1266.1073,8345050
2016-04-27,25880,26000,25720,26000,1270.015015,8297300
2016-04-28,26000,26000,25220,25300,1235.82251,14653450
2016-04-29,25200,25340,24840,24900,1216.283813,16253900
2016-05-02,24940,25240,24900,25000,1221.168579,7027600
2016-05-03,25340,25400,25120,25220,1231.914795,7903300
2016-05-04,25440,25800,25240,25800,1260.245728,14702750
2016-05-09,25800,26000,25700,25980,1269.03833,13718100
2016-05-10,25980,26000,25760,25920,1266.1073,8559550
2016-05-11,25920,25980,25740,25840,1262.199585,8834400
2016-05-12,25840,25840,25500,25620,1251.453369,7615100
2016-05-13,25620,25620,25020,25060,1224.099121,12284900
2016-05-16,25060,25260,24940,24960,1219.214478,11720150
2016-05-17,24980,25300,24980,25280,1234.845459,9183550
2016-05-18,25280,25420,25100,25360,1238.753296,9169600
2016-05-19,25360,25540,25320,25400,1240.707153,10012450
2016-05-20,25400,25600,25380,25380,1239.730103,7960550
2016-05-23,25380,25720,25380,25720,1256.338013,8112550
2016-05-24,25720,25780,25360,25420,1241.68396,10434600
2016-05-25,25660,25960,25480,25900,1265.130249,11862750
2016-05-26,25980,26060,25900,25920,1266.1073,12653650
2016-05-27,26000,26020,25460,25640,1252.43042,13744550
2016-05-30,25940,25940,25480,25600,1250.47644,10315350
2016-05-31,25600,26000,25360,25840,1262.199585,62527700
2016-06-01,25960,26820,25900,26660,1302.253906,23504000
2016-06-02,27000,27440,26920,27300,1333.515869,23806950
2016-06-03,27400,27580,27280,27540,1345.239258,17066200
2016-06-07,27720,28040,27600,27960,1365.754761,23142150
2016-06-08,28380,28380,27780,28120,1373.570313,18808100
2016-06-09,28160,28600,28120,28600,1397.016724,25768750
2016-06-10,28480,28500,28080,28120,1373.570313,14484050
2016-06-13,27920,27920,27240,27420,1339.377563,15248300
2016-06-14,27420,27720,27380,27600,1348.169922,12273050
2016-06-15,27700,28320,27660,28260,1380.408569,15334450
2016-06-16,28260,28340,27900,28180,1376.501221,14621550
2016-06-17,28200,28700,28200,28520,1393.109009,16419700
2016-06-20,28540,28960,28520,28620,1397.993774,13515800
2016-06-21,28640,28980,28520,28960,1414.60144,10020550
2016-06-22,28920,29000,28620,28900,1411.670532,8948250
2016-06-23,28880,28900,28540,28600,1397.016724,11256300
2016-06-24,28900,28900,27200,28000,1367.708496,20552600
2016-06-27,28000,28100,27700,27960,1365.754761,11839000
2016-06-28,27800,28080,27580,27980,1366.731689,10718950
2016-06-29,28160,28240,27820,27920,1414.349487,10527050
2016-06-30,28160,28900,27940,28500,1443.730591,13671700
2016-07-01,28540,29580,28540,29320,1485.269531,14393600
2016-07-04,29280,29480,29020,29320,1485.269531,7995000
2016-07-05,29320,29500,29240,29380,1488.309204,7870350
2016-07-06,28940,29040,28240,28420,1439.677979,16749150
2016-07-07,28420,29000,28320,29000,1469.059082,11495200
2016-07-08,29000,29500,28980,29200,1479.190674,13498150
2016-07-11,29200,30000,29200,29780,1508.571655,14056800
2016-07-12,29980,30100,29200,29280,1483.243286,11024700
2016-07-13,29920,29920,29260,29620,1500.466675,10009900
2016-07-14,29620,30000,29520,30000,1519.716309,12430250
2016-07-15,30000,30440,29720,30360,1537.953125,11623150
2016-07-18,30360,30660,30000,30660,1553.150269,11567200
2016-07-19,30560,30800,30440,30660,1553.150269,10122250
2016-07-20,30660,30840,30480,30800,1560.24231,7773150
2016-07-21,30800,30940,30740,30860,1563.281738,8544700
2016-07-22,30120,30560,30120,30320,1535.926636,8585150
2016-07-25,30000,30460,29900,30040,1521.742798,7732500
2016-07-26,30000,30620,29960,30600,1550.110596,7228500
2016-07-27,30240,30580,30240,30540,1547.071289,6335050
2016-07-28,30660,30720,29960,30140,1526.808472,9503700
2016-07-29,30400,31140,30220,30780,1559.229248,14985600
2016-08-01,31380,31600,31200,31360,1588.610229,11515400
2016-08-02,31360,31360,30920,30960,1568.347656,8315800
2016-08-03,30960,30960,30340,30340,1536.939819,7504900
2016-08-04,30380,30660,30340,30340,1536.939819,7009950
2016-08-05,30580,31280,30500,31220,1581.518433,6958850
2016-08-08,31320,31500,31120,31380,1589.623413,11125150
2016-08-09,31480,31580,31140,31340,1587.597168,9023200
2016-08-10,31340,31400,30680,30820,1561.255371,12340350
2016-08-11,30820,31180,30520,31180,1579.492065,10533600
2016-08-12,31180,31400,30880,30900,1565.308105,10474850
2016-08-16,30900,31520,30900,31360,1588.610229,10843100
2016-08-17,31380,31400,31020,31320,1586.584106,7446450
2016-08-18,31340,32880,31320,32800,1661.556519,18327050
2016-08-19,32760,33500,32720,33500,1697.016724,16805150
2016-08-22,33480,33840,33180,33300,1686.885254,12612200
2016-08-23,33300,33880,33140,33740,1709.174561,11545700
2016-08-24,33600,33640,32720,33060,1674.727661,15938550
2016-08-25,32600,33180,32440,32780,1660.543579,14173800
2016-08-26,32120,32460,32060,32240,1633.188599,12058000
2016-08-29,32040,32800,31940,32800,1661.556519,8925750
2016-08-30,32940,33420,32660,32900,1666.622559,7849600
2016-08-31,32820,32820,32220,32400,1641.293823,20532200
2016-09-01,31660,31760,31260,31740,1607.859985,18790150
2016-09-02,31900,32260,31760,31940,1617.991333,8153000
